Fund,Name,Ticker,Identifier,SEDOL,Weight,Sector,SharesHeld,LocalCurrency
SPY,PublicStorage,PSA,74460D10,2852533,0.124875,RealEstate,1574046,USD
SPY,T.RowePriceGroup,TROW,74144T10,2702337,0.124555,Financials,2358405,USD
SPY,MetLifeInc.,MET,59156R10,2573209,0.124423,Financials,7784500,USD
SPY,TEConnectivityLtd.,TEL,H8498910,B62B7C3,0.123783,InformationTechnology,3427314,USD
SPY,Kimberly-ClarkCorporation,KMB,49436810,2491839,0.123477,ConsumerStaples,3501035,USD
SPY,eBayInc.,EBAY,27864210,2293819,0.123454,ConsumerDiscretionary,6695843,USD
SPY,AgilentTechnologiesInc.,A,00846U10,2520153,0.123201,HealthCare,3155922,USD
SPY,L3HarrisTechnologiesInc,LHX,50243110,BK9DTN5,0.122979,Industrials,2129211,USD
SPY,AlignTechnologyInc.,ALGN,1625510,2679204,0.121926,HealthCare,745744,USD
SPY,RossStoresInc.,ROST,77829610,2746711,0.121755,ConsumerDiscretionary,3687820,USD
SPY,TraneTechnologiesplc,TT,G8994E10,BK9ZQ96,0.121481,Industrials,2469939,USD
SPY,MSCIInc.ClassA,MSCI,55354G10,B2972D2,0.120668,Financials,855428,USD
SPY,ExelonCorporation,EXC,30161N10,2670519,0.120162,Utilities,10113538,USD
SPY,GeneralDynamicsCorporation,GD,36955010,2365161,0.119272,Industrials,2401163,USD
SPY,ChipotleMexicanGrillInc.,CMG,16965610,B0X7DZ3,0.118428,ConsumerDiscretionary,291468,USD
SPY,SimonPropertyGroupInc.,SPG,82880610,2812452,0.118234,RealEstate,3402839,USD
SPY,AptivPLC,APTV,G6095L10,B783TY6,0.117268,ConsumerDiscretionary,2796907,USD
SPY,CenteneCorporation,CNC,15135B10,2807061,0.117215,HealthCare,6024332,USD
SPY,AmericanElectricPowerCompanyInc.,AEP,2553710,2026242,0.115858,Utilities,5144448,USD
SPY,DuPontdeNemoursInc.,DD,26614N10,BK0VN47,0.115752,Materials,5575208,USD
SPY,SempraEnergy,SRE,81685110,2138158,0.115698,Utilities,3266530,USD
SPY,SynopsysInc.,SNPS,87160710,2867719,0.115531,InformationTechnology,1578350,USD
SPY,IHSMarkitLtd.,INFO,G4756710,BD0Q558,0.115512,Industrials,3862074,USD
SPY,DigitalRealtyTrustInc.,DLR,25386810,B03GQS4,0.115145,RealEstate,2909196,USD
SPY,AmericanInternationalGroupInc.,AIG,2687478,2027342,0.114192,Financials,8956022,USD
SPY,BankofNewYorkMellonCorporation,BK,6405810,B1Z77F6,0.113525,Financials,8356634,USD
SPY,AmphenolCorporationClassA,APH,3209510,2145084,0.113042,InformationTechnology,6205827,USD
SPY,BaxterInternationalInc.,BAX,7181310,2085102,0.112575,HealthCare,5231200,USD
SPY,DexComInc.,DXCM,25213110,B0796X4,0.112328,HealthCare,996275,USD
SPY,PrudentialFinancialInc.,PRU,74432010,2819118,0.112182,Financials,4111284,USD
SPY,ElectronicArtsInc.,EA,28551210,2310194,0.111852,CommunicationServices,2979079,USD
SPY,AlexionPharmaceuticalsInc.,ALXN,1535110,2036070,0.11134,HealthCare,2277199,USD
SPY,MicrochipTechnologyIncorporated,MCHP,59501710,2592174,0.110633,InformationTechnology,2835696,USD
SPY,O'ReillyAutomotiveInc.,ORLY,67103H10,B65LWX6,0.1105,ConsumerDiscretionary,727047,USD
SPY,PPGIndustriesInc.,PPG,69350610,2698470,0.110212,Materials,2454497,USD
SPY,AllstateCorporation,ALL,2000210,2019952,0.110003,Financials,3136154,USD
SPY,MarathonPetroleumCorporation,MPC,56585A10,B3K3L40,0.109165,Energy,6745151,USD
SPY,CarrierGlobalCorp.,CARR,14448C10,BK4N0D7,0.108988,Industrials,8463684,USD
SPY,Parker-HannifinCorporation,PH,70109410,2671501,0.108433,Industrials,1337013,USD
SPY,ConstellationBrandsInc.ClassA,STZ,21036P10,2170473,0.107939,ConsumerStaples,1761126,USD
SPY,SyscoCorporation,SYY,87182910,2868165,0.107282,ConsumerStaples,5287016,USD
SPY,PioneerNaturalResourcesCompany,PXD,72378710,2690830,0.106247,Energy,2402805,USD
SPY,TravelersCompaniesInc.,TRV,8.94E+14,2769503,0.104767,Financials,2612292,USD
SPY,CadenceDesignSystemsInc.,CDNS,12738710,2302232,0.104512,InformationTechnology,2889498,USD
SPY,Phillips66,PSX,71854610,B78C4Y8,0.104088,Energy,4524687,USD
SPY,InternationalFlavors&FragrancesInc.,IFF,45950610,2464165,0.101672,Materials,2576524,USD
SPY,CognizantTechnologySolutionsCorporationClassA,CTSH,19244610,2257019,0.101379,InformationTechnology,5495433,USD
SPY,MarriottInternationalInc.ClassA,MAR,57190320,2210614,0.101352,ConsumerDiscretionary,2755666,USD
SPY,MotorolaSolutionsInc.,MSI,62007630,B5BKPQ4,0.101173,InformationTechnology,1751026,USD
SPY,GeneralMillsInc.,GIS,37033410,2367026,0.100733,ConsumerStaples,6332708,USD
SPY,DiscoverFinancialServices,DFS,25470910,B1YLC43,0.100431,Financials,3176623,USD
SPY,HPInc.,HPQ,40434L10,BYX4D52,0.09984,InformationTechnology,12453769,USD
SPY,XcelEnergyInc.,XEL,98389B10,2614807,0.098791,Utilities,5579626,USD
SPY,ResMedInc.,RMD,76115210,2732903,0.098671,HealthCare,1506963,USD
SPY,TransDigmGroupIncorporated,TDG,89364110,B11FJK3,0.098589,Industrials,566384,USD
SPY,KinderMorganIncClassP,KMI,49456B10,B3NQ4P8,0.098174,Energy,20166442,USD
SPY,CumminsInc.,CMI,23102110,2240202,0.09802,Industrials,1532570,USD
SPY,SBACommunicationsCorp.ClassA,SBAC,78410G10,BZ6TS23,0.095714,RealEstate,1132212,USD
SPY,WelltowerInc.,WELL,95040Q10,BYVYHH4,0.095618,RealEstate,4323286,USD
SPY,WalgreensBootsAllianceInc,WBA,93142710,BTN1Y44,0.09558,ConsumerStaples,7428578,USD
SPY,XilinxInc.,XLNX,98391910,2985677,0.095359,InformationTechnology,2545733,USD
SPY,PaychexInc.,PAYX,70432610,2674458,0.095252,InformationTechnology,3324456,USD
SPY,Yum!BrandsInc.,YUM,98849810,2098876,0.095228,ConsumerDiscretionary,3107595,USD
SPY,AflacIncorporated,AFL,105510,2026361,0.094581,Financials,6630825,USD
SPY,HiltonWorldwideHoldingsInc,HLT,43300A20,BYVMW06,0.093903,ConsumerDiscretionary,2875732,USD
SPY,ZimmerBiometHoldingsInc.,ZBH,98956P10,2783815,0.09279,HealthCare,2153253,USD
SPY,Archer-Daniels-MidlandCompany,ADM,3948310,2047317,0.092757,ConsumerStaples,5784220,USD
SPY,MonsterBeverageCorporation,MNST,61174X10,BZ07BW4,0.092205,ConsumerStaples,3829609,USD
SPY,CintasCorporation,CTAS,17290810,2197137,0.091947,Industrials,913814,USD
SPY,OtisWorldwideCorporation,OTIS,68902V10,BK531S8,0.091526,Industrials,4221485,USD
SPY,FirstRepublicBank,FRC,33616C10,B4WHY15,0.090865,Financials,1812794,USD
SPY,StanleyBlack&DeckerInc.,SWK,85450210,B3Q2FJ4,0.090862,Industrials,1666267,USD
SPY,CortevaInc,CTVA,22052L10,BK73B42,0.090815,Materials,7705191,USD
SPY,RockwellAutomationInc.,ROK,77390310,2754060,0.090655,Industrials,1202950,USD
SPY,AutoZoneInc.,AZO,5333210,2065955,0.090366,ConsumerDiscretionary,224224,USD
SPY,FortinetInc.,FTNT,3.50E+14,B5B2106,0.089788,InformationTechnology,1402650,USD
SPY,WilliamsCompaniesInc.,WMB,96945710,2967181,0.089005,Energy,12572922,USD
SPY,Mettler-ToledoInternationalInc.,MTD,59268810,2126249,0.088473,HealthCare,242513,USD
SPY,SouthwestAirlinesCo.,LUV,84474110,2831543,0.087048,Industrials,6118548,USD
SPY,ValeroEnergyCorporation,VLO,91913Y10,2041364,0.086983,Energy,4232117,USD
SPY,CorningInc,GLW,21935010,2224701,0.086356,InformationTechnology,7958309,USD
SPY,SkyworksSolutionsInc.,SWKS,83088M10,2961053,0.085271,InformationTechnology,1707949,USD
SPY,AMETEKInc.,AME,3110010,2089212,0.084495,Industrials,2388224,USD
